"Variable","Intercept","Coefficients"
"NDVI",-2.90385808140217,2.82765692843641
"NDVI",-2.90385808140217,4.75178688382453
"NDVI",-2.90385808140217,0.00449916596783189
"NDVI",-2.90385808140217,0.993785338352427
"NDVI",-2.90385808140217,-0.184245815565356
"NDVI",-2.90385808140217,NA
"Clof.A",14.2554266409018,-32.154190626746
"Clof.A",14.2554266409018,81.0261052637487
"Clof.A",14.2554266409018,0.0555640887131472
"Clof.A",14.2554266409018,-10.6933768865158
"Clof.A",14.2554266409018,-15.6296168304339
"Clof.A",14.2554266409018,NA
"Clof.B",29.925541457659,-55.233874931296
"Clof.B",29.925541457659,15.4067943358178
"Clof.B",29.925541457659,-0.0641608277029961
"Clof.B",29.925541457659,-4.34035122475292
"Clof.B",29.925541457659,-10.6695896962871
"Clof.B",29.925541457659,NA
"Clorof.Total",47.630298400259,-91.1484596439389
"Clorof.Total",47.630298400259,93.6120162716591
"Clorof.Total",47.630298400259,-0.016357076497724
"Clorof.Total",47.630298400259,-15.1383199824049
"Clorof.Total",47.630298400259,-26.6145334894936
"Clorof.Total",47.630298400259,NA
