Block,Treatment,DAS,Inoculation,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Chlorophyll A,Chlorophyll B,Total Chlorophyll,NDVI,,,,,,,,,,,
1,75E,31,não,0.2845336,0.436874754,0.278591646,0.211171874,117.7475975,0.362307748,0.113327479,0.828941577,40.56666667,10.06666667,50.63333333,0.546016667,,,,,,,,,,,
1,75E,31,não,0.309194446,0.455959068,0.234846487,0.191810688,99.82531111,0.484939541,0.141806988,0.679002886,41.13333333,7.866666667,49,0.633984375,,,,,,,,,,,
1,75E,31,não,0.340095641,0.479764414,0.180139945,0.170356846,87.96876502,0.624524163,0.037506657,0.601371754,39.36666667,7.766666667,47.13333333,0.65825,,,,,,,,,,,
1,75E,31,não,0.337904303,0.473669813,0.188425884,0.167286644,88.55777041,0.60219993,0.049206027,0.608185628,39.4,8.933333333,48.33333333,0.625895522,,,,,,,,,,,
1,75E,31,não,0.334017282,0.474199465,0.191783253,0.173446273,89.78204019,0.595564172,0.082272071,0.606177031,42.9,9.066666667,51.96666667,0.722387097,,,,,,,,,,,
1,75E,31,sim,0.330011527,0.462593224,0.20739525,0.167273407,91.17149283,0.551668206,0.032228498,0.645209392,41.06666667,7.866666667,48.93333333,0.576485294,,,,,,,,,,,
1,75E,31,sim,0.333904925,0.464354069,0.201741005,0.163417067,89.80410992,0.565544875,0.031691302,0.63316633,40.16666667,8.6,48.76666667,0.539095238,,,,,,,,,,,
1,75E,31,sim,0.290422988,0.433420557,0.276156455,0.197553147,114.5569781,0.362844124,0.044724467,0.833904792,40.83333333,8,48.83333333,0.515359375,,,,,,,,,,,
1,75E,31,sim,0.287188386,0.430453347,0.282358268,0.199632985,118.0431013,0.344044436,0.087151101,0.845396495,38.06666667,7.433333333,45.5,0.410092308,,,,,,,,,,,
1,75E,31,sim,0.3364034,0.463900713,0.199695887,0.159311081,88.95419775,0.569528821,0.008151563,0.634963193,40.46666667,7.733333333,48.2,0.419028986,,,,,,,,,,,
1,50E,31,não,0.322449472,0.458613197,0.218937331,0.17433137,94.08696759,0.522610051,0.038801263,0.668901604,43.96666667,9.4,53.36666667,0.435627119,,,,,,,,,,,
1,50E,31,não,0.325954416,0.462769107,0.211276476,0.173463434,92.64064409,0.543451641,0.056211965,0.64811571,41.23333333,7.9,49.13333333,0.501725806,,,,,,,,,,,
1,50E,31,não,0.276564236,0.448453388,0.274982376,0.237082723,119.4528678,0.386820608,0.178151773,0.80863625,41.8,8.666666667,50.46666667,0.579457627,,,,,,,,,,,
1,50E,31,não,0.338744528,0.47618513,0.185070342,0.168653332,88.32709462,0.611347917,0.053015747,0.60258486,42.86666667,9.4,52.26666667,0.6036,,,,,,,,,,,
1,50E,31,não,0.291439989,0.455233897,0.253326114,0.219364719,108.6738763,0.443525371,0.133761584,0.744648105,41.5,8.2,49.7,0.600965517,,,,,,,,,,,
1,50E,31,sim,0.317470716,0.464884617,0.217644667,0.188423207,95.77429146,0.531830783,0.10678314,0.652541422,41.4,7.966666667,49.36666667,0.767607143,,,,,,,,,,,
1,50E,31,sim,0.349116369,0.482450119,0.168433512,0.160340456,85.47643923,0.650878909,0.018133196,0.585198405,40.9,8.4,49.3,0.618017241,,,,,,,,,,,
1,50E,31,sim,0.28756643,0.440116742,0.272316827,0.209638367,114.5472191,0.381262285,0.159540396,0.789439212,41.8,8,49.8,0.569311475,,,,,,,,,,,
1,50E,31,sim,0.332646991,0.472267829,0.195085179,0.173460389,90.2228523,0.586918339,0.054676211,0.620706551,41.06666667,7.866666667,48.93333333,0.599238095,,,,,,,,,,,
1,50E,31,sim,0.326603306,0.467117769,0.206278925,0.177032547,92.32213295,0.558400603,0.026039138,0.651420825,38.86666667,7,45.86666667,0.55895082,,,,,,,,,,,
1,0E,31,não,0.317835206,0.44696079,0.235204004,0.168836638,96.58695063,0.473770385,0.023905408,0.704035573,42.86666667,8.7,51.56666667,0.389125,,,,,,,,,,,
1,0E,31,não,0.327042825,0.461993569,0.210963607,0.171032344,92.2552917,0.54336246,0.059964417,0.644753773,40.43333333,7.633333333,48.06666667,0.495274194,,,,,,,,,,,
1,0E,31,não,0.325623605,0.458319059,0.216057336,0.169266785,92.86415685,0.528587493,0.049654656,0.656497933,41.66666667,7.733333333,49.4,0.557612903,,,,,,,,,,,
1,0E,31,não,0.33069228,0.466930026,0.202377694,0.170804834,90.89847922,0.56657811,0.042558329,0.635279405,39,7.266666667,46.26666667,0.566117647,,,,,,,,,,,
1,0E,31,não,0.341310575,0.484717092,0.173972333,0.173609822,87.68957719,0.641084797,0.042186352,0.592740601,40.3,7.8,48.1,0.645,,,,,,,,,,,
1,0E,31,sim,0.34515999,0.485116111,0.169723899,0.168565758,86.62515718,0.650137575,0.045191183,0.582807954,39.06666667,6.933333333,46,0.599984127,,,,,,,,,,,
1,0E,31,sim,0.344291196,0.487415415,0.16829339,0.172084984,86.90962225,0.654722882,0.052536145,0.580411559,39.66666667,6.966666667,46.63333333,0.498694915,,,,,,,,,,,
1,0E,31,sim,0.343705117,0.475836539,0.180458344,0.161225998,86.83977838,0.620755597,0.016944918,0.603209708,36.76666667,6.333333333,43.1,0.474655738,,,,,,,,,,,
1,0E,31,sim,0.351241134,0.483316724,0.165442142,0.158258159,84.92975485,0.65769415,0.013976091,0.581275224,39.06666667,6.333333333,45.4,0.496,,,,,,,,,,,
1,0E,31,sim,0.335535317,0.481156527,0.183308156,0.178306188,89.33463273,0.61902594,0.053700395,0.605394737,39.73333333,6.833333333,46.56666667,0.540238095,,,,,,,,,,,
1,100E,31,não,0.330894723,0.47016099,0.198944288,0.173853409,90.80922352,0.576859221,0.010528531,0.642033102,43.4,8.566666667,51.96666667,0.284716667,,,,,,,,,,,
1,100E,31,não,0.285680116,0.423344778,0.290975106,0.194160549,122.3077774,0.325183325,0.017869786,0.898469949,45.36666667,9.533333333,54.9,0.300676923,,,,,,,,,,,
