Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
A,0,31,sem,0.269776269,0.409114323,0.321109408,0.205243755,142.1044305,0.34058464,0.195021649,0.944266962,42.86666667,8.7,51.56666667,0.389125
A,0,31,sem,0.237845592,0.436099631,0.326054777,0.294169366,146.6958046,0.454607216,0.219466292,0.923618857,40.43333333,7.633333333,48.06666667,0.495274194
A,0,31,sem,0.206464486,0.43111709,0.362418423,0.352351153,161.6520265,0.521094174,0.208242321,0.988287982,41.66666667,7.733333333,49.4,0.557612903
A,0,31,sem,0.207517123,0.436588692,0.355894185,0.355642758,158.8639399,0.52468507,0.219849711,0.967732517,39,7.266666667,46.26666667,0.566117647
A,0,31,sem,0.214181969,0.437080709,0.348737322,0.342256278,156.2196807,0.509971581,0.272398619,0.940430382,40.3,7.8,48.1,0.645
A,0,31,com,0.214154957,0.419441884,0.366403158,0.324002447,164.4981674,0.489428774,0.176888698,1.025106217,39.06666667,6.933333333,46,0.599984127
A,0,31,com,0.208971187,0.422940464,0.368088349,0.338606317,164.6186942,0.50590874,0.187528319,1.016735948,39.66666667,6.966666667,46.63333333,0.498694915
A,0,31,com,0.265831313,0.395796676,0.338372011,0.196432685,153.4892448,0.328363956,0.126007619,1.034594168,36.76666667,6.333333333,43.1,0.474655738
A,0,31,com,0.274462209,0.399386368,0.326151424,0.185389067,144.8258859,0.312790243,0.161709435,0.979755029,39.06666667,6.333333333,45.4,0.496
A,0,31,com,0.210627119,0.409028293,0.380344588,0.320179846,171.3255436,0.485054892,0.073141587,1.099076416,39.73333333,6.833333333,46.56666667,0.540238095
A,25,31,sem,0.27987997,0.393303267,0.326816764,0.168488,144.8291818,0.288386359,0.142608641,0.994274899,43.4,8.566666667,51.96666667,0.284716667
A,25,31,sem,0.271040231,0.396478569,0.3324812,0.187917311,149.3886081,0.31638113,0.1417091,1.010573302,45.36666667,9.533333333,54.9,0.300676923
A,25,31,sem,0.235754172,0.416363323,0.347882504,0.27695799,157.2500502,0.433777763,0.148631095,1.012808437,43.3,7.5,50.8,0.472758065
A,25,31,sem,0.239366062,0.420922816,0.339711122,0.274965639,153.1615513,0.431330274,0.217275575,0.968028891,41.86666667,7.966666667,49.83333333,0.545014706
A,25,31,sem,0.205759506,0.437279314,0.35696118,0.360040173,159.1849861,0.529455203,0.212328866,0.970433011,43.96666667,8.4,52.36666667,0.630064516
A,25,31,com,0.236153104,0.402265392,0.361581503,0.260193414,165.30492,0.412942031,0.227946949,1.03806434,38.76666667,6.533333333,45.3,0.617266667
A,25,31,com,0.248488806,0.403898595,0.347612599,0.238217029,158.2693239,0.384774274,0.244721759,1.002775344,42.23333333,7.4,49.63333333,0.58434
A,25,31,com,0.211982745,0.424753011,0.363264245,0.334157874,162.6605192,0.500927035,0.14880202,1.020426533,43.2,8.133333333,51.33333333,0.499984127
A,25,31,com,0.214053017,0.416678058,0.369268926,0.321254254,165.9615184,0.486286804,0.150745217,1.042997762,40.6,7.833333333,48.43333333,0.56171875
A,25,31,com,0.238376063,0.399884563,0.361739374,0.253044749,165.8291583,0.403887809,0.165046505,1.064961664,41.33333333,7.7,49.03333333,0.5213875
A,50,31,sem,0.22379326,0.4124622,0.36374454,0.29653017,164.5069381,0.457421165,0.163781839,1.040193099,43.93333333,8.733333333,52.66666667,0.470178571
A,50,31,sem,0.21371848,0.428013827,0.358267693,0.333932613,160.4719603,0.500673887,0.208534608,0.988441392,39.8,7.333333333,47.13333333,0.466070175
A,50,31,sem,0.269075902,0.422846777,0.308077321,0.222237079,135.2179999,0.363656254,0.244711497,0.881755193,43.7,8.966666667,52.66666667,0.607983051
A,50,31,sem,0.200378932,0.441565231,0.358055837,0.375712269,159.2253388,0.54620763,0.167521589,0.980008809,44.23333333,9.266666667,53.5,0.658724138
A,50,31,sem,0.254086429,0.427581254,0.318332317,0.254515255,142.2182607,0.405758725,0.190655943,0.924629893,45.3,9.266666667,54.56666667,0.704596491
A,50,31,com,0.231184665,0.432986438,0.335828897,0.303840037,151.112977,0.4660695,0.216532533,0.945315861,40.56666667,8.3,48.86666667,0.661125
A,50,31,com,0.200228482,0.42605147,0.373720048,0.360578345,166.0958119,0.530036872,0.181916612,1.018770016,38.26666667,6.833333333,45.1,0.609919355
A,50,31,com,0.268429601,0.412690544,0.318879855,0.211799554,140.9829157,0.349562027,0.259830265,0.91344099,43.36666667,8.633333333,52,0.582873016
A,50,31,com,0.211448818,0.433782691,0.35476849,0.344579999,158.6768791,0.512546668,0.164296994,0.989256997,42.9,7.8,50.7,0.563034483
A,50,31,com,0.221562768,0.403792842,0.37464439,0.291402317,170.4027523,0.451295949,0.134274443,1.08482516,42.16666667,7.566666667,49.73333333,0.489492537
A,75,31,sem,0.234360365,0.410404809,0.355234826,0.273036526,161.1967994,0.428953169,0.109923684,1.04924549,43.96666667,9.4,53.36666667,0.435627119
A,75,31,sem,0.224033457,0.427528961,0.348437582,0.312319278,156.6801593,0.47598063,0.222241619,0.971037913,41.23333333,7.9,49.13333333,0.501725806
A,75,31,sem,0.222865275,0.425902918,0.351231807,0.31295869,157.9338127,0.476722828,0.193013644,0.987497913,41.8,8.666666667,50.46666667,0.579457627
A,75,31,sem,0.210785169,0.424582836,0.364631994,0.336494228,163.1754454,0.503547597,0.182775587,1.011089191,42.86666667,9.4,52.26666667,0.6036
A,75,31,sem,0.191548073,0.440116769,0.368335158,0.393513585,162.6732137,0.564778972,0.164134769,0.994102162,41.5,8.2,49.7,0.600965517
A,75,31,com,0.202834269,0.429198078,0.367967653,0.358152253,163.7702613,0.527411051,0.302145467,0.966649279,41.4,7.966666667,49.36666667,0.767607143
A,75,31,com,0.205882772,0.428588131,0.365529097,0.351009572,163.0109968,0.519625588,0.314569778,0.96088486,40.9,8.4,49.3,0.618017241
A,75,31,com,0.207962864,0.413669864,0.378367272,0.330914045,169.703046,0.497273353,0.204328858,1.04226063,41.8,8,49.8,0.569311475
A,75,31,com,0.206785262,0.41121814,0.381996598,0.330795716,171.4236273,0.497139737,0.221725089,1.04606521,41.06666667,7.866666667,48.93333333,0.599238095
A,75,31,com,0.212962017,0.418994568,0.368043415,0.326023268,165.162203,0.491730841,0.239984384,1.006996053,38.86666667,7,45.86666667,0.55895082
A,100,31,sem,0.210238697,0.408025611,0.381735691,0.319906731,172.0247747,0.48474142,0.044199577,1.112712861,40.56666667,10.06666667,50.63333333,0.546016667
A,100,31,sem,0.286098404,0.373444691,0.340456905,0.132434541,157.339997,0.233893503,0.062630169,1.108603204,41.13333333,7.866666667,49,0.633984375
A,100,31,sem,0.227198198,0.406200107,0.366601695,0.282605602,166.7269307,0.440674205,0.098864764,1.079747737,39.36666667,7.766666667,47.13333333,0.65825
A,100,31,sem,0.202673882,0.43112118,0.366204938,0.360443479,162.9502274,0.529891149,0.153074696,1.010957092,39.4,8.933333333,48.33333333,0.625895522
A,100,31,sem,0.196744433,0.434206317,0.369049249,0.376355657,163.5366249,0.546887216,0.130261927,1.016153757,42.9,9.066666667,51.96666667,0.722387097
A,100,31,com,0.236087202,0.409031849,0.354880949,0.268081753,161.2133301,0.422814622,0.153779404,1.036764936,41.06666667,7.866666667,48.93333333,0.576485294
A,100,31,com,0.203192685,0.424311992,0.372495322,0.352378739,165.9397163,0.52112434,0.123774068,1.04025451,40.16666667,8.6,48.76666667,0.539095238
A,100,31,com,0.21958088,0.414599602,0.365819518,0.307512968,164.9921843,0.47037846,0.147155608,1.04411189,40.83333333,8,48.83333333,0.515359375
A,100,31,com,0.219277851,0.418356352,0.362365797,0.312214276,163.1250826,0.475858679,0.177463492,1.021809735,38.06666667,7.433333333,45.5,0.410092308
A,100,31,com,0.286458368,0.395547508,0.317994124,0.159953373,137.3449472,0.275792763,0.154933565,0.952785375,40.46666667,7.733333333,48.2,0.419028986
B,0,31,sem,0.245649525,0.428181674,0.326168801,0.270887054,146.4674282,0.426296031,0.207885487,0.935647428,42.73333333,8.833333333,51.56666667,0.451045455
B,0,31,sem,0.24765785,0.445249525,0.307092625,0.285163187,138.0477569,0.443777398,0.321476751,0.8451806,41.9,8.2,50.1,0.509416667
B,0,31,sem,0.201378844,0.448807162,0.349813994,0.38055005,155.9947036,0.55130207,0.262217785,0.928797291,44.26666667,9.766666667,54.03333333,0.587714286
B,0,31,sem,0.19786299,0.4489457,0.35319131,0.388186976,157.1180445,0.559271889,0.264937414,0.931474924,42.63333333,7.8,50.43333333,0.624754386
B,0,31,sem,0.221411841,0.439870259,0.3387179,0.330355863,152.2183214,0.496642849,0.311324324,0.909668284,43.4,8.866666667,52.26666667,0.581959184
B,0,31,com,0.208985969,0.430664876,0.360349154,0.346562361,160.968224,0.514736445,0.152127824,1.005313155,40.66666667,7.666666667,48.33333333,0.610333333
B,0,31,com,0.256594829,0.414217692,0.329187479,0.234973049,147.6327871,0.380531461,0.198441783,0.960524402,40.26666667,8.2,48.46666667,0.516566038
B,0,31,com,0.256433557,0.411549321,0.332017121,0.232215179,149.2363183,0.376906864,0.174822689,0.97851414,42.03333333,8.566666667,50.6,0.456229508
B,0,31,com,0.194700692,0.446193816,0.359105492,0.392409547,159.2228936,0.563640989,0.172747682,0.972442074,42,8.633333333,50.63333333,0.39525
B,0,31,com,0.20338642,0.434391424,0.362222156,0.362202932,161.2551417,0.531789975,0.127127721,1.009555999,42.36666667,8.366666667,50.73333333,0.380185185
B,25,31,sem,0.18836242,0.45329343,0.35834415,0.412886456,158.4964517,0.584458085,0.196297358,0.953617362,41.93333333,8.066666667,50,0.546480769
B,25,31,sem,0.189030446,0.455365125,0.355604429,0.413309296,157.5258643,0.584881592,0.348645484,0.897301332,,,,0.617056604
B,25,31,sem,0.189762898,0.449669254,0.360567848,0.406464321,159.4307288,0.5779945,0.330981991,0.916067441,45.76666667,10.43333333,56.2,0.697
B,25,31,sem,0.196973845,0.44989428,0.353131875,0.390992268,157.0451751,0.562177486,0.285365711,0.923292129,44.76666667,9.566666667,54.33333333,0.606754717
B,25,31,sem,0.198818279,0.448449853,0.352731868,0.385669496,156.9937792,0.556654378,0.38571061,0.891399333,46.13333333,10.36666667,56.5,0.624843137
B,25,31,com,0.187601564,0.445046751,0.367351685,0.406932542,161.8924409,0.578467737,0.240411194,0.959776139,42.43333333,9.033333333,51.46666667,0.630418182
B,25,31,com,0.188160967,0.440984608,0.370854425,0.401852372,163.3567344,0.573316249,0.218165411,0.977043527,44.4,9.233333333,53.63333333,0.494903226
B,25,31,com,0.221831247,0.424612877,0.353555876,0.313687792,158.9753142,0.477568253,0.181561042,0.996819759,42.73333333,8.533333333,51.26666667,0.511690909
B,25,31,com,0.246766846,0.423977304,0.32925585,0.264199781,147.9291656,0.417971566,0.209074897,0.946146543,44.66666667,9.166666667,53.83333333,0.481122807
B,25,31,com,0.19832377,0.441187282,0.360488948,0.379764371,160.0632875,0.550477138,0.200326308,0.972306004,45.93333333,10.2,56.13333333,0.36386
B,50,31,sem,0.20741349,0.428104165,0.364482344,0.347261281,162.7028974,0.515506957,0.190452261,1.00191858,40.26666667,7.866666667,48.13333333,0.5474
B,50,31,sem,0.219433006,0.432140664,0.348426331,0.326452201,156.3860877,0.492218567,0.264303203,0.949971008,43.46666667,9.5,52.96666667,0.613186441
B,50,31,sem,0.199996011,0.439390037,0.360613952,0.374412339,160.2561277,0.544832622,0.229352422,0.965583473,41.33333333,8.7,50.03333333,0.682216667
B,50,31,sem,0.240856005,0.432527879,0.326616116,0.284639829,146.8459142,0.443143397,0.27185041,0.910812699,45.23333333,9.933333333,55.16666667,0.662716667
B,50,31,sem,0.22846917,0.437321073,0.334209758,0.313690243,150.3776753,0.477571094,0.301655075,0.909022806,44.13333333,9.2,53.33333333,0.711017241
B,50,31,com,0.193905806,0.439540356,0.366553838,0.387774944,162.1719254,0.558844135,0.240146905,0.967958127,42.96666667,8.333333333,51.3,0.6222
B,50,31,com,0.201731,0.430565425,0.367703576,0.361910042,163.5177293,0.531474224,0.187987626,1.001944546,43.16666667,8.433333333,51.6,0.500185841
B,50,31,com,0.19976383,0.433840498,0.366395672,0.369436663,162.7121191,0.539545454,0.244344735,0.975992821,44.03333333,9.2,53.23333333,0.47687931
B,50,31,com,0.217514594,0.415857376,0.36662803,0.313153709,165.1077979,0.476949054,0.161544831,1.037767582,43.83333333,8.566666667,52.4,0.532714286
B,50,31,com,0.251369881,0.415369293,0.333260826,0.245972367,149.9602092,0.394827965,0.202990461,0.967172798,43.46666667,8.766666667,52.23333333,0.467363636
B,75,31,sem,0.247703789,0.436972524,0.315323687,0.276435348,141.4361546,0.433136466,0.180041012,0.914697255,41.66666667,8.5,50.16666667,0.55045614
B,75,31,sem,0.197116301,0.454746044,0.348137655,0.395221083,155.1717202,0.566535423,0.24374529,0.925304875,44.43333333,9.8,54.23333333,0.621277778
B,75,31,sem,0.239495186,0.44922868,0.311276134,0.304524794,140.5349026,0.466874674,0.295036819,0.860112294,43.06666667,9.333333333,52.4,0.765864407
B,75,31,sem,0.219373513,0.454231755,0.326394732,0.348658559,147.3410593,0.517044965,0.266408588,0.89074359,43.4,9.7,53.1,0.741
B,75,31,sem,0.230965455,0.446677627,0.322356918,0.318327122,145.4203909,0.482925849,0.242713122,0.899344737,42.8,9.5,52.3,0.80055102
B,75,31,com,0.186940683,0.449958345,0.363100972,0.412966028,160.1859605,0.584537802,0.150272152,0.978318685,41.13333333,8.233333333,49.36666667,0.629983871
B,75,31,com,0.243069491,0.433653498,0.323277012,0.281627801,145.2510761,0.439484538,0.255475044,0.908630562,38.86666667,7.5,46.36666667,0.525847458
B,75,31,com,0.247776362,0.417754766,0.334468872,0.255402636,150.6012438,0.406885613,0.134983166,0.989383983,40.8,7.666666667,48.46666667,0.513444444
B,75,31,com,0.247010985,0.416393768,0.336595247,0.255323439,151.7331884,0.406785106,0.211683835,0.970139177,42.96666667,8.7,51.66666667,0.554614035
B,75,31,com,0.251267253,0.419089195,0.329643552,0.250347323,148.0212344,0.40044445,0.154198555,0.970792523,42.8,8.6,51.4,0.52861194
B,100,31,sem,0.198408237,0.436533796,0.365057967,0.375035116,161.9903847,0.545491692,0.187997107,0.988783648,42.2,8.7,50.9,0.523441176
B,100,31,sem,0.190154665,0.448266863,0.361578472,0.404297454,159.8486725,0.575800309,0.270599055,0.939248393,40.86666667,8.933333333,49.8,0.581140625
B,100,31,sem,0.1937339,0.445332424,0.360933676,0.393697047,159.8729946,0.5649679,0.338779171,0.920267613,41.33333333,8.566666667,49.9,0.606122807
B,100,31,sem,0.194131423,0.444353049,0.361515529,0.391899313,160.1366042,0.563114458,0.368977332,0.912283871,44,10.03333333,54.03333333,0.588366667
B,100,31,sem,0.195258313,0.446510361,0.358231326,0.391499395,158.9186111,0.562701496,0.300413797,0.928509409,41.2,8.766666667,49.96666667,0.65645
B,100,31,com,0.197553222,0.428227267,0.374219511,0.368618147,165.9521893,0.538672015,0.19118229,1.012005172,42.1,8.066666667,50.16666667,0.573295082
B,100,31,com,0.197919183,0.434393069,0.367687748,0.373982767,163.0750054,0.544377668,0.237812481,0.978575536,43.6,8.133333333,51.73333333,0.52766129
B,100,31,com,0.209901496,0.433621503,0.356477001,0.347648813,159.310433,0.51593384,0.19960063,0.979879804,42.4,8.333333333,50.73333333,0.522683333
B,100,31,com,0.221604343,0.421735259,0.356660398,0.311081293,160.4903124,0.474541578,0.120689277,1.026535895,42.93333333,8.566666667,51.5,0.478196721
B,100,31,com,0.248582705,0.420991276,0.330426019,0.25748995,148.4823362,0.409530032,0.162579676,0.967531965,43.96666667,8.8,52.76666667,0.424064516
C,0,31,sem,0.232901646,0.389925999,0.377172355,0.252115258,175.1267519,0.402702956,0.098856064,1.139073393,38.96666667,7.1,46.06666667,0.456622951
C,0,31,sem,0.256633655,0.391536973,0.351829372,0.20812933,162.3395296,0.344548095,0.096073635,1.088345699,38.13333333,6.766666667,44.9,0.474877193
C,0,31,sem,0.202619472,0.43121741,0.366163118,0.360657362,162.9252286,0.530122237,0.306279938,0.959672767,39.1,7.466666667,46.56666667,0.530728814
C,0,31,sem,0.187729853,0.442536023,0.369734124,0.404283619,162.8571109,0.575786278,0.312120053,0.942126284,38.6,7.166666667,45.76666667,0.550566667
C,0,31,sem,0.2061678,0.44366028,0.35017192,0.365469711,156.3811401,0.535302552,0.26047682,0.936857654,39.56666667,7.6,47.16666667,0.634046875
C,0,31,com,0.227043351,0.441147514,0.331809135,0.320423661,149.3592938,0.485334624,0.332394343,0.890530866,,6.333333333,,0.495660714
C,0,31,com,0.204551613,0.430005873,0.365442514,0.355293673,162.8177941,0.524305071,0.343220802,0.948701343,39.03333333,6.8,45.83333333,0.45294
C,0,31,com,0.209257326,0.441069657,0.349673017,0.35645504,156.3438018,0.525568529,0.221531148,0.952876784,38.06666667,6.566666667,44.63333333,0.418770833
C,0,31,com,0.187569236,0.434597053,0.377833711,0.397044683,166.2128868,0.568406562,0.288224288,0.971194643,39.56666667,6.866666667,46.43333333,0.47393617
C,0,31,com,0.202842933,0.41783518,0.379321887,0.34638284,169.2517165,0.514538406,0.258905032,1.015806168,39.1,6.366666667,45.46666667,0.431829787
C,25,31,sem,0.192647146,0.43399674,0.373356114,0.385146332,164.9246172,0.556109233,0.153171592,1.013154265,42.26666667,9.733333333,52,0.5075
C,25,31,sem,0.203855359,0.444487645,0.351656996,0.371149661,156.8533184,0.541370022,0.31008892,0.92092101,43.13333333,9.833333333,52.96666667,0.634491525
C,25,31,sem,0.192848141,0.460805761,0.346346098,0.409938072,154.3706495,0.581497982,0.343398532,0.882649215,43.9,10.53333333,54.43333333,0.748508475
C,25,31,sem,0.205248698,0.44823338,0.346517922,0.371830675,154.8834889,0.542094125,0.382771125,0.885508744,44.86666667,10,54.86666667,0.694929825
C,25,31,sem,0.204535438,0.443529997,0.351934565,0.368781524,157.0048074,0.538846438,0.357157857,0.906914165,42.96666667,8.5,51.46666667,0.720912281
C,25,31,com,0.195574847,0.445567125,0.358858028,0.389917192,159.1891739,0.561065356,0.28692839,0.935053051,41.66666667,8.533333333,50.2,0.61359322
C,25,31,com,0.191480252,0.448043338,0.360476411,0.401178456,159.5215449,0.572630066,0.250254082,0.945269422,42.13333333,9,51.13333333,0.58
C,25,31,com,0.234699838,0.437825624,0.327474538,0.302034343,147.404113,0.463942207,0.331567642,0.887075122,42.23333333,8.6,50.83333333,0.636542373
C,25,31,com,0.204943913,0.435543592,0.359512495,0.360037748,160.21738,0.529452581,0.339679046,0.933719346,41.36666667,8.333333333,49.7,0.583946429
C,25,31,com,0.196835008,0.423105437,0.380059555,0.364987364,168.585548,0.534784971,0.229410054,1.015188036,43.26666667,8.933333333,52.2,0.504618182
C,50,31,sem,0.239103908,0.423940833,0.336955259,0.278769914,151.7635725,0.435996985,0.30912513,0.928090253,40.9,7.633333333,48.53333333,0.487666667
C,50,31,sem,0.192913762,0.434523587,0.372562651,0.385074024,164.6129761,0.556033854,0.212111687,0.991801353,40.8,7.5,48.3,0.48045098
C,50,31,sem,0.194044838,0.449908363,0.356046799,0.397332484,157.9894619,0.56870142,0.289251957,0.925068107,40.43333333,7.4,47.83333333,0.680611111
C,50,31,sem,0.196153793,0.443428837,0.360417371,0.386619387,159.8577007,0.557643129,0.263981245,0.947556879,43.76666667,9.3,53.06666667,0.619705882
C,50,31,sem,0.219940326,0.448775995,0.331283679,0.342201412,149.1938806,0.509910672,0.340642837,0.878670389,42.06666667,8.433333333,50.5,0.6677
C,50,31,com,0.22646932,0.417031095,0.356499585,0.296133103,160.9411376,0.4569486,0.303092525,0.974103723,40.06666667,7.166666667,47.23333333,0.486694915
C,50,31,com,0.212121712,0.43119305,0.356685238,0.340535227,159.5935482,0.508058603,0.356017862,0.931938668,39.63333333,7.6,47.23333333,0.535188679
C,50,31,com,0.226660869,0.420819711,0.35251942,0.299868208,158.8934802,0.461382479,0.260613575,0.975409539,40.1,7.333333333,47.43333333,0.497545455
C,50,31,com,0.220970655,0.433217436,0.345811909,0.324443052,155.291349,0.489931298,0.276985036,0.940424272,38.5,7.233333333,45.73333333,0.5185
C,50,31,com,0.189222912,0.437495907,0.37328118,0.396147342,164.4812618,0.56748644,0.282691928,0.963725332,42.06666667,8.166666667,50.23333333,0.575396825
C,75,31,sem,0.232785325,0.424119145,0.34309553,0.291265822,154.5919621,0.45113224,0.172824351,0.984192037,44.23333333,9.866666667,54.1,0.389016393
C,75,31,sem,0.196548962,0.450251981,0.353199057,0.392242808,157.0472758,0.563468967,0.277453565,0.925510688,43.83333333,8.733333333,52.56666667,0.461890625
C,75,31,sem,0.173364684,0.454802716,0.3718326,0.448030304,162.3115343,0.618813436,0.266299831,0.940026324,42,8.966666667,50.96666667,0.491918033
C,75,31,sem,0.200675817,0.448289003,0.35103518,0.381551016,156.4340929,0.552351686,0.287713187,0.922390003,41.2,8.166666667,49.36666667,0.514127273
